Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
170,DLF Ltd.,9156.73,-49.90,1319.20,-70.45,51257.28
171,Jubilant Life Sciences Ltd.,9146.56,21.02,574.46,-10.63,8295.75
172,Welspun Corp Ltd.,9088.13,40.34,-13.26,PL,3652.08
173,State Trading Corporation Of India Ltd.,9017.04,-19.60,-883.02,LL,347.33
174,Rashtriya Chemicals & Fertilizers Ltd.,8988.59,21.07,134.08,70.11,2795.69
175,Dabur India Ltd.,8812.12,9.78,1442.33,6.49,82478.07
176,PC Jeweller Ltd.,8764.28,-9.68,0.61,-99.89,1280.30
177,Quess Corp Ltd.,8598.22,38.13,256.74,-17.44,7774.27
178,Gujarat State Fertilizer & Chemicals Ltd.,8598.22,35.09,493.13,4.09,2945.02
179,Reliance Power Ltd.,8538.35,-13.54,-2951.82,PL,1103.26
180,Jammu & Kashmir Bank Ltd.,8493.04,19.25,463.85,128.85,1798.09
181,GMR Infrastructure Ltd.,8394.84,-9.48,-3580.58,LL,12808.18
182,Bharti Infratel Ltd.,8385.50,1.69,2493.80,0.00,42691.77
183,Zuari Agro Chemicals Ltd.,8215.38,10.86,-170.58,PL,396.11
184,Zee Entertainment Enterprises Ltd.,8187.80,12.75,1567.10,5.95,29264.76
185,Aditya Birla Fashion and Retail Ltd.,8182.50,13.57,321.22,172.71,16458.01
186,Mahindra CIE Automotive Ltd.,8070.20,25.03,498.10,38.98,5619.01
187,Graphite India Ltd.,8067.60,140.50,3395.58,229.03,5995.26
188,CG Power and Industrial Solutions Ltd.,8048.82,-0.55,-503.50,LL,937.59
189,Marico Ltd.,8043.00,15.83,1118.00,37.35,46677.33
190,Aster DM Healthcare Ltd.,7997.33,15.93,333.11,23.89,7441.41
191,Apar Industries Ltd.,7978.90,36.87,136.06,-6.00,1865.31
192,Uflex Ltd.,7977.93,16.89,313.84,1.08,1456.60
193,MphasiS Ltd.,7907.69,17.89,1073.35,28.16,16642.13
194,Gujarat Gas Ltd.,7867.46,26.66,418.45,43.09,13662.50
195,DCM Shriram Ltd.,7858.78,12.97,905.50,35.24,5376.02
196,Kama Holdings Ltd.,7787.37,35.29,338.56,38.90,3282.12
197,RBL Bank Ltd.,7743.07,37.53,857.84,35.81,14389.78
198,SRF Ltd.,7732.83,35.56,641.63,38.97,17985.25
